datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,PN,PN,1586.680,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,PS,PS,3956.223,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,RECO,RECO,123.211,False
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,PEP,SMECO,425.801,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,PL,UGI,101.836,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,AE,VMEU,61.963,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RTO,RTO,RTO,RTO,78924.587,False
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,AE,AECO,856.910,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,AEP,AEPAPT,4302.126,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,AEP,AEPIMP,2468.237,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,AEP,AEPKPT,690.048,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,AEP,AEPOPT,5932.208,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,AP,AP,5140.434,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,BC,BC,3040.585,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,CE,CE,8762.563,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,DAY,DAY,1653.000,False
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,DEOK,DEOK,2642.021,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,SERC,SOUTH,DOM,DOM,13453.881,True
